43,5,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,5,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,8,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,8,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,8,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,8,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,8,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,8,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,8,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,8,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,8,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,8,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,8,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,8,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,9,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,9,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,9,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,9,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,10,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,9,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,24,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012,2013,2088,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,30,2092,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,2019,2096,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,9,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,2075,2097,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,2076,2099,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020,35,2100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021,48,2101,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,3032,3150,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023,2077,3152,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2026,3030,3159,NULL,,NULL,,NULL,NULL,NULL
2027,3030,3160,NULL,,NULL,,NULL,NULL,NULL
2028,3030,3161,NULL,,NULL,,NULL,NULL,NULL
2029,3030,3162,NULL,,NULL,,NULL,NULL,NULL
2030,3030,3163,NULL,,NULL,,NULL,NULL,NULL
2036,3028,3167,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2037,3031,3168,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2038,2069,2088,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3039,31,3172,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3040,32,3173,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3069,3030,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3071,3030,3174,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3078,42,3190,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3082,105,3192,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3084,50,3193,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3085,38,3194,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3086,44,3195,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3087,36,3196,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3088,47,3197,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3090,2079,3198,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3113,38,3199,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3114,38,3200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3115,61,3201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3116,37,3202,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4171,2076,4221,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4172,4063,4222,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4175,44,4224,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5178,41,4227,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5179,43,4228,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5180,46,4229,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6186,9,5233,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6188,47,5238,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6190,5101,6240,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6194,5103,6244,NULL,NULL,NULL,NULL,NULL,NULL,NULL
