9,LAKE AT THE DENSE,,,2164,,LKDEN
9,THE DENSE,,,2165,,LKLF 
9,THE LAKE WOOD,,,2166,,LKWOD
9,THE MEADOWS,,,2167,,MDOWS
9,MANSION GARDEN,,,2168,,MSGRD
9,NEO CLASSIC,,,2169,,NEOCL
9,RUKO NOVO,,,2170,,NOVO 
9,NUSA DUA,,,2171,,NSDUA
9,THE PRAIRIE,,,2172,,PRAIR
9,RELOKASI,,,2173,,RELOK
9,RUKO BLOK I,,,2174,,RKIR 
9,ROSEWOOD,,,2175,,RSWOD
9,SPRING LAKE,,,2176,,SPRNG
9,THE TARN,,,2177,,TARN 
9,TAMAN UBUD,,,2178,,TMUBD
9,TOWN HOUSE,,,2179,,TOWNH
9,TERRACE GARDEN,,,2180,,TRGRD
9,THE VARDEN,,,2181,,VARDN
9,WEST POINT,,,2182,,WEST 
9,ZEPHYR VALLEY,,,2183,,ZPVLY
35,KAWASAN I,,,2184,,KAW-I
35,KAWASAN II,,,2185,,KW-II
48,Baywalk,,,2187,,BW
48,BeachFront Mansion,,,2188,,BM
48,The Boulevard,,,2189,,TB
48,Carribean Ville,,,2190,,CV
48,Bosporus Park,,,2191,,BP
48,Marina Walk,,,2192,,MW
48,Marina Urban South,,,2193,,MU
48,TransWay Avenue,,,2194,,TA
48,Marina Urban North,,,2195,,MUN
48,CitraGrand Mutiara Palu,,,2196,,CGP
3032,THE BRENTWOOD,,,2197,,BW   
3032,CITRALAND MIRACLE WALK,,,2198,,CMW  
3032,CRYSTAL PARK,,,2199,,CP   
3032,CITRALAND UTAMA,,,2200,,CU   
3032,DIAMOND HILL,,,2201,,DH   
3032,DIAMOND HILL.02,,,2202,,DH.02
3032,EDENBRIDGE,,,2203,,EB   
3032,EDENBRIDGE UTAMA,,,2204,,EBU  
3032,EASTERN HILL,,,2205,,EH   
3032,GLORY HILL,,,2206,,GH   
3032,GRAND PEAK,,,2207,,GP   
3032,GREENWOOD,,,2208,,GW   
3032,MIRABELL PALACE,,,2209,,MP   
3032,NORTHERN HILL,,,2210,,NH   
3032,PALM HILL,,,2211,,PH   
3032,ROYAL BOULEVARD,,,2212,,RB   
3032,ROYAL DIAMOND,,,2213,,RD   
3032,ROYAL GALLERY,,,2214,,RG   
3032,ROYAL GALLERY UTAMA,,,2215,,RGU  
3032,ROYAL HIGHLAND,,,2216,,RH   
3032,ROYAL MANSION,,,2217,,RM   
3032,ROYAL PARK,,,2218,,RP   
3032,ROYAL REGENCY,,,2219,,RR   
3032,ROYAL TERRACE,,,2220,,RT   
3032,SEKOLAH CITRA KASIH,,,2221,,SCK  
3032,SOUTHERN HILL,,,2222,,SH   
3032,THE PEAK,,,2223,,TP   
3032,THE PEAK UTAMA,,,2224,,TPU  
3032,VILLAGE OF BLESSINGS,,,2225,,VOB  
3032,VICTORIA PARK,,,2226,,VP   
3032,WOODLAND,,,2227,,WL   
3032,WOODLAND UTAMA,,,2228,,WLU  
3032,WESTMINSTER PARK,,,2229,,WP   
3032,WESTMINSTER PARK UTAMA,,,2230,,WPU  
3028,BUSINESS PARK,,,2231,,BP   
3028,COMMERCIAL LOT,,,2232,,CL   
3028,SUNSET COVE,,,2233,,SC   
3028,SUNSET COVE 8,,,2234,,SC8  
3028,SUNSET QUAY,,,2235,,SQ   
3031,BLUE AQUA,,,2241,,B
3031,YELLOW LEAF,,,2242,,A
3031,GREEN STONE,,,2243,,C
3031,WHITE FLORAL,,,2244,,D
3031,CLUSTER E,,,2245,,E
3031,CLUSTER H,,,2246,,H
3031,CLUSTER G,,,2247,,G
3031,CLUSTER F,,,2248,,F
3031,CLUSTER I,,,2249,,I
3031,CLUSTER J,,,2250,,J
30,BAHAMAS,,,2251,,BHMS 
30,CARIBBEAN,,,2252,,CBN  
30,GRENADINES,,,2253,,GREN 
30,KAWASAN KOMERSIAL,,,2254,,KOM  
30,MALDIVES,,,2255,,MLDV 
30,PASADENA,,,2256,,PAS  
30,PASADENA,,,2257,,PSD  
30,RUKO R1,,,2258,,R1   
30,RUKO R10,,,2259,,R10  
30,RUKO R11,,,2260,,R11  
30,RUKO R2,,,2261,,R2   
30,RUKO R3,,,2262,,R3   
30,RUKO R5,,,2263,,R5   
30,RUKO R6,,,2264,,R6   
30,RUKO R8,,,2265,,R8   
30,RUKO R9,,,2266,,R9   
30,SAN MARCO,,,2267,,SAN  
30,SANTORINI,,,2268,,SNT  
2013,BRENTWOOD,,,2294,,BW   
2013,CITYWALK III,,,2295,,CW 3 
2013,CITYWALK VIII,,,2296,,CW 8 
2013,CITYWALK I,,,2297,,CW I 
2013,CITYWALK II,,,2298,,CW II
2013,CITYWALK IX,,,2299,,CW IX
2013,CITYWALK V,,,2300,,CW V 
2013,CITYWALK VI,,,2301,,CW VI
2013,CITYWALK VII,,,2302,,CWVII
2013,DIAMOND HILL,,,2303,,DH   
2013,EMERALD HILL,,,2304,,EH   
2013,LITTLE EUROPE A,,,2305,,LE A 
2013,LITTLE EUROPE B,,,2306,,LE B 
2013,LITTLE EUROPE C,,,2307,,LE C 
2013,MADISON AVENUE,,,2308,,MA A 
2013,MANSION GARDEN,,,2309,,MG   
2013,OLIVINE,,,2310,,OL   
2013,ROYAL GARDEN,,,2311,,RG   
2013,RUBY HILL,,,2312,,RH   
2013,TERRACE GARDEN,,,2313,,TG   
2013,VERSAILLES GARDEN,,,2314,,VG   
32,CITRAGARDEN SQUARE,,,2315,,CGS  
32,CLUSTER ROSEWOOD GARDEN,,,2316,,CLA  
32,CLUSTER ROSEWOOD GARDEN,,,2317,,CLB  
32,CLUSTER ORCHARD GARDEN,,,2318,,CLC  
31,CLUSTER CRYSTAL GARDEN,,,2319,,CLA01
31,CLUSTER EMERALD GARDEN,,,2320,,CLB01
31,CLUSTER ROYAL GARDEN,,,2321,,CLC01
31,SHOPPING STREET,,,2322,,CLD01
5,BUKIT CERBERA,,,2324,,BCB01
2069,DA VINCI,,,2325,,DV   
2069,MICHAELANGELO,,,2326,,MA   
2069,REMBRANDT,,,2327,,RE   
2069,VAN GOGH,,,2328,,VA   
42,ASTER GARDEN,,,2329,,AG   
42,GREEN HILL,,,2330,,GH   
42,GREENWOOD,,,2331,,GW   
42,MELROSE PLACE,,,2332,,MP   
42,ORCHID GARDEN,,,2333,,OG   
42,RUKO EXCLUSICE,,,2334,,RE   
42,SENTRA NIAGA,,,2335,,SN   
42,WATER FRONT,,,2336,,WF   
30,BEVERLY HILLS,,,2337,,BHL
42,THE ORCHARD,,,2338,,OC
3028,TREASURE ISLAND,,,2342,,TI
50,DOWNTOWN,,,2343,,DT   
50,FLORIDA,,,2344,,FL   
50,GATEWAY,,,2345,,GW   
50,MONACO,,,2346,,MC   
50,MAIN ROAD,,,2347,,MR   
50,QUEENSLAND,,,2348,,QL   
50,ROTTERDAM,,,2349,,RT   
50,SANTA MONICA,,,2350,,SM   
50,THE ARCADE,,,2351,,TA   
50,SN,,,2352,,SN
38,D'BOULEVARD,,,2354,,DB   
38,GREEN STONE,,,2355,,GS   
38,GOLDEN WOOD,,,2356,,GW   
38,MAIN ROAD,,,2357,,MR   
38,RIVER SIDE,,,2358,,RS   
38,SENTRA NIAGA UTAMA,,,2359,,SNU  
38,YELLOW LEAF,,,2360,,YL   
36,DIAMOND HILL,,,2387,,DMND 
36,EMERALD HILL,,,2388,,EMRD 
36,RUBY HILL,,,2389,,RUBY 
