44,config_sh2,2,NULL,XXX,The Taman Dayu Pandaaan,PANDAAN,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,1,1,00:00.0,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
45,config_sh2,2,NULL,XXX,Paradise Memorial Park,Lain Lain,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,0,1,NULL,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
46,config_sh2,2,NULL,XXX,CitraLand Denpasar,DENPASAR,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,1,1,00:00.0,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
47,config_sh2,2,NULL,XXX,CitraLand Kendari,KENDARI,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,1,1,00:00.0,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
48,config_sh2,2,NULL,XXX,CitraLand Palu,PALU,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,1,1,00:00.0,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
49,config_sh2,2,NULL,XXX,CitraLand Manado,MANADO,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,0,1,NULL,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,0
50,config_sh2,2,NULL,XXX,CitraLand Ambon,AMBON,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,1,1,00:00.0,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,1
51,config_sh2,2,NULL,XXX,Ciputra World Surabaya,SURABAYA,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,0,1,NULL,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,0
52,config_sh2,2,NULL,XXX,Comercial - CitraLand Surabaya,SURABAYA,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,NULL,NULL,0,1,NULL,0,NULL,sh2,NULL,NULL,NULL,NULL,NULL,NULL,87,0
53,config_sh2,2,NULL,XXX,Apartment - CitraLand Surabaya,SURABAYA,NULL,NULL,NULL,NULL,NULL,NULL,1,SYSTEM,NULL,0,26:17.2,0,1,NULL,0,NULL,sh2,NULL,NULL,NULL,NULL,,,87,0
