no_bap,no_voucher,date,
BAP 13-0001,249/SBM/RMH/12.02,2013-01-10,249/SBM/1/38.26.1/X/12
BAP 13-0002,239/SBM/TMN/12.01,2013-01-08,239/SBM/1/38.12.5/X/12
BAP 13-0003,009/SBM/RMH/12.06,2013-01-10,009/SBM/1/36.26.1/I/12
BAP 13-0004,193/SBM/TMN/12.02,2013-01-08,193/SBM/1/1.12.5/VIII/12
BAP 13-0005,069/SBM/RMH/12.07,2013-01-08,069/SBM/1/35.26.1/III/12
BAP 13-0006,297/SBM/ME/12.01,2013-01-08,297/SBM/1/1.6.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0008,202/SBM/PRS/12.01,2013-01-10,202/SPK/EST/CG/IX/12
BAP 13-0008,202/SBM/PRS/12.01,2013-01-10,202/SPK/EST/CG/IX/12
BAP 13-0009,300/SBM/RMH/12.01,2013-01-10,300/SBM/1/38.26.1/XI/12
BAP 13-0011,175/SBM/RMH/12.04,2013-01-10,175/SBM/1/35.26.1/VIII/12
BAP 13-0012,135/SBM/RMH/12.05,2013-01-10,135/SBM/1/35.26.1/VI/12
BAP 13-0013,254/SBM/RMH/12.02,2013-01-10,254/SBM/1/5.26.1/X/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0015,242/SPK/EST/12.02,2013-01-15,242/SPK/EST/CG/X/12
BAP 13-0016,328/SPK/TMN/12.01,2013-01-15,328/SPK/EST/CG/XII/12
BAP 13-0018,327/SPK/TMN/12.01,2013-01-15,327/SPK/EST/CG/XII/12
BAP 13-0020,260/SPK/EST/12.01,2013-01-15,260/SPK/EST/CG/X/12
BAP 13-0021,221/SBM/RMH/12.03,2013-01-17,221/SBM/1/35.26.1/IX/12
BAP 13-0022,296/SBM/RMH/12.01,2013-01-17,296/SBM/1/38.26.1/XI/12
BAP 13-0023,222/SBM/RMH/12.02,2013-01-17,222/SBM/1/30.26.1/IX/12
BAP 13-0025,290/SBM/RMH/12.01,2013-01-17,290/SBM/1/34.26.1/XI/12
BAP 13-0026,232/SBM/RMH/12.01,2013-01-17,232/SBM/1/34.26.1/IX/12
BAP 13-0027,276/SBM/RMH/12.01,2013-01-17,276/SBM/1/38.26.1/XI/12
BAP 13-0028,278/SPK/EST/12.03,2013-01-17,278/SPK/EST/CG/XI/12
BAP 13-0030,245/SBM/RMH/12.02,2013-01-17,245/SBM/1/38.26.1/X/12
BAP 13-0031,025/SBM/TMN/12.02,2013-01-21,025/SBM/1/5.12.5/II/12
BAP 13-0032,001/SBM/TMN/12.02,2013-01-21,001/SBM/1/31.12.5/I/12
BAP 13-0033,078/SBM/TMN/12.02,2013-01-21,078/SBM/1/1.12.5/IV/12
BAP 13-0034,247/SBM/RMH/12.02,2013-01-21,247/SBM/1/38.26.1/X/12
BAP 13-0035,223/SBM/RMH/12.02,2013-01-21,223/SBM/1/5.26.1/IX/12
BAP 13-0036,333/SBM/RMH/12.01,2013-01-21,333/SBM/1/38.26.1/XII/12
BAP 13-0037,332/SBM/RMH/12.01,2013-01-21,332/SBM/1/38.26.1/XII/12
BAP 13-0038,166/SBM/RMH/12.03,2013-01-21,166/SBM/1/38.26.1/VII/12
BAP 13-0039,051/SBM/RMH/12.08,2013-01-21,051/SBM/1/36.26.1/II/12
BAP 13-0040,272/SBM/PRS/12.01,2013-01-22,272/SBM/1/37.3.4/XI/12
BAP 13-0041,007/SPK/TMN/13.01,2013-01-22,007/SPK/EST/CG/I/13
BAP 13-0042,238/SBM/RMH/12.02,2013-01-22,238/SBM/1/26.26.1/X/12
BAP 13-0043,183/SBM/RMH/12.02,2013-01-29,183/SBM/1/38.26.1/VIII/12
BAP 13-0044,187/SBM/RMH/12.03,2013-01-29,187/SBM/1/38.26.1/VIII/12
BAP 13-0045,188/SBM/RMH/12.03,2013-01-29,188/SBM/1/38.26.1/VIII/12
BAP 13-0046,265/SBM/KSL/12.01,2013-01-29,265/SBM/1/31.1.8/X/12
BAP 13-0047,137/SBM/Prom//12.02,2013-01-29,137/SBM/Promosi/Mkt/VI/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,016/SBM/1/1.6.6/I/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0049,120/SBM/RMH/12.06,2013-01-29,120/SBM/1/38.26.1/VI/12
BAP 13-0050,186/SBM/RMH/12.04,2013-01-29,186/SBM/1/38.26.1/VIII/12
BAP 13-0051,131/SBM/RMH/12.05,2013-01-29,131/SBM/1/38.26.1/VI/12
BAP 13-0053,196/SBM/RMH/12.04,2013-01-29,196/SBM/1/38.26.1/VIII/12
BAP 13-0054,240/SBM/RMH/12.03,2013-01-29,240/SBM/1/38.26.1/X/12
BAP 13-0056,229/SBM/RMH/12.03,2013-01-29,229/SBM/1/38.26.1/IX/12
BAP 13-0057,164/SBM/RMH/12.04,2013-01-29,164/SBM/1/38.26.1/VII/12
BAP 13-0058,192/SBM/PRS/12.02,2013-01-31,192/SBM/1/36.24.4/VIII/12
BAP 13-0059,283/SBM/PRS/12.02,2013-01-31,283/SBM/1/19.3.4/XI/12
BAP 13-0060,072/SBM/RMH/12.05,2013-01-31,072/SBM/1/27.26.1/III/12
BAP 13-0060,072/SBM/RMH/12.05,2013-01-31,072/SBM/1/27.26.1/III/12
BAP 13-0061,280/SBM/RMH/12.01,2013-01-31,280/SBM/1/26.26.1/XI/12
BAP 13-0062,147/SBM/RMH/12.03,2013-02-05,147/SBM/1/5.26.1/VII/12
BAP 13-0063,080/SBM/PRS/12.02,2013-03-07,080/SBM/1/38.3.4/IV/12
BAP 13-0063,080/SBM/PRS/12.02,2013-03-07,IL.005/T-080/12
BAP 13-0064,284/SBM/RMH/12.02,2013-03-18,284/SBM/1/38.26.1/XI/12
BAP 13-0065,151/SBM/PRS/12.02,2013-02-07,151/SBM/1/36.3.4/VII/12
BAP 13-0066,249/SBM/RMH/12.03,2013-02-07,249/SBM/1/38.26.1/X/12
BAP 13-0070,303/SBM/PRS/12.01,2013-02-05,303/SBM/1/36.2.4/XI/12
BAP 13-0070,303/SBM/PRS/12.01,2013-02-05,303/SBM/1/36.2.4/XI/12
BAP 13-0070,303/SBM/PRS/12.01,2013-02-05,IL.002/K-303/12
BAP 13-0070,303/SBM/PRS/12.01,2013-02-05,IL.002/K-303/12
BAP 13-0071,043/SBM/RMH/12.02,2013-02-05,043/SBM/1/19.26.2/II/12
BAP 13-0072,281/SBM/KSL/12.02,2013-02-05,281/SBM/1/1.1.8/XI/12
BAP 13-0073,315/SBM/PRS/12.01,2013-02-05,315/SBM/1/38.2.4/XII/12
BAP 13-0074,264/SBM/PRS/12.03,2013-02-05,264/SBM/1/36.4.4/X/12
BAP 13-0074,264/SBM/PRS/12.03,2013-02-05,264/SBM/1/36.4.4/X/12
BAP 13-0074,264/SBM/PRS/12.03,2013-02-05,264/SBM/1/36.4.4/X/12
BAP 13-0074,264/SBM/PRS/12.03,2013-02-05,264/SBM/1/36.4.4/X/12
BAP 13-0076,018/SBM/PRS/13.01,2013-02-05,018/SBM/1/1.13.3/II/13
BAP 13-0077,252/SPK/EST/12.01,2013-02-05,252/SPK/EST/CG/X/12
BAP 13-0078,189/SBM/RMH/12.02,2013-02-05,189/SBM/1/38.26.1/VIII/12
BAP 13-0079,184/SBM/RMH/12.03,2013-02-05,184/SBM/1/38.26.1/VIII/12
BAP 13-0080,180/SBM/RMH/12.03,2013-02-05,180/SBM/1/38.26.1/VIII/12
BAP 13-0081,322/SBM/PRS/12.01,2013-01-29,322/SBM/1/1.1.7/XII/12
BAP 13-0082,270/SBM/RMH/12.03,2013-02-05,270/SBM/1/31.26.1/X/12
BAP 13-0083,320/SBM/RMH/12.02,2013-02-05,320/SBM/1/31.26.1/XII/12
BAP 13-0084,253/SBM/TMN/12.01   ,2013-02-07,253/SBM/1/36.12.5/X/12
BAP 13-0084,253/SBM/TMN/12.01   ,2013-02-07,253/SBM/1/36.12.5/X/12
BAP 13-0085,329/SBM/PROM/12.01,2013-02-07,329/SBM/Prom/Mkt/XII/12
BAP 13-0087,200/SBM/PRS/12.01,2013-02-07,200/SBM/1/1.6.6/VIII/12
BAP 13-0087,200/SBM/PRS/12.01,2013-02-07,200/SBM/1/1.6.6/VIII/12
BAP 13-0088,231/SBM/PRS/12.03,2013-02-11,231/SBM/1/23.4.4/IX/12
BAP 13-0088,231/SBM/PRS/12.03,2013-02-11,IL.001/T-231/12
BAP 13-0088,231/SBM/PRS/12.03,2013-02-11,IL.001/T-231/12
BAP 13-0088,231/SBM/PRS/12.03,2013-02-11,IL.001/T-231/12
BAP 13-0089,230/SPK/EST/12.03,2013-02-11,230/SPK/EST/CG/IX/12
BAP 13-0090,067/SBM/RMH/12.04,2013-02-11,067/SBM/1/36.26.1/III/12
BAP 13-0091,039/SBM/RMH/12.04,2013-02-11,039/SBM/1/36.26.1/II/12
BAP 13-0092,040/SBM/RMH/12.04,2013-02-11,040/SBM/1/36.26.1/II/12
BAP 13-0094,167/SBM/RMH/12.05,2013-02-07,167/SBM/1/36.26.1/VII/12
BAP 13-0095,197/SBM/RMH/12.04,2013-02-07,197/SBM/1/36.26.1/VIII/12
BAP 13-0096,233/SBM/RMH/12.02,2013-02-07,233/SBM/1/36.26.1/X/12
BAP 13-0097,146/SBM/RMH/12.04,2013-02-07,146/SBM/1/36.26.1/VII/12
BAP 13-0098,010/SBM/PRS/12.01,2013-02-11,010/SBM/1/1.4.4/I/13
BAP 13-0100,007/SPK/TMN/13.02,2013-02-14,007/SPK/EST/CG/I/13
BAP 13-0101,327/SPK/TMN/12.02,2013-02-14,327/SPK/EST/CG/XII/12
BAP 13-0102,328/SPK/TMN/12.02,2013-02-14,328/SPK/EST/CG/XII/12
BAP 13-0103,247/SBM/RMH/12.03,2013-02-19,247/SBM/1/38.26.1/X/12
BAP 13-0105,175/SBM/RMH/12.05,2013-02-14,175/SBM/1/35.26.1/VIII/12
BAP 13-0110,254/SBM/RMH/12.03,2013-02-14,254/SBM/1/5.26.1/X/12
BAP 13-0111,316/SBM/PRS/12.01,2013-02-14,316/SBM/1/5.13.4/XII/12
BAP 13-0111,316/SBM/PRS/12.01,2013-02-14,IL.002/K-316/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,044/SBM/1/36.26.1/II/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.001/K-044/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.001/K-044/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.004/K-044/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.004/K-044/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.001/K-044/12
BAP 13-0114,044/SBM/RMH/12.04,2013-02-05,IL.004/K-044/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,064/SBM/1/36.26.1/III/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.001/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.001/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.001/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.003/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.003/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.003/K-064/12
BAP 13-0115,064/SBM/RMH/12.04,2013-02-14,IL.003/K-064/12
BAP 13-0116,228/SBM/RMH/12.2,2013-02-21,228/SBM/1/5.26.1/IX/12
BAP 13-0117,239/SBM/TMN/12.02,2013-02-21,239/SBM/1/38.12.5/X/12
BAP 13-0117,239/SBM/TMN/12.02,2013-02-21,239/SBM/1/38.12.5/X/12
BAP 13-0118,166/SBM/RMH/12.04,2013-02-21,166/SBM/1/38.26.1/VII/12
BAP 13-0120,245/SBM/RMH/12.03,2013-02-21,245/SBM/1/38.26.1/X/12
BAP 13-0121,012/SBM/RMH/12.01,2013-02-26,012/SBM/1/26.26.1/I/13
BAP 13-0122,022/SBM/RMH/13.01,2013-02-26,022/SBM/1/35.26.1/II/13
BAP 13-0123,210/SBM/TMN/12.01,2013-02-26,210/SBM/1/36.12.5/IX/12
BAP 13-0123,210/SBM/TMN/12.01,2013-02-26,210/SBM/1/36.12.5/IX/12
BAP 13-0124,222/SBM/RMH/12.03,2013-02-26,222/SBM/1/30.26.1/IX/12
BAP 13-0125,127/SBM/TMN/12.02,2013-02-26,127/SBM/1/5.12.5/VI/12
BAP 13-0126,274/SBM/PRS/12.01,2013-02-26,274/SBM/1/19.7.6/XI/12
BAP 13-0127,024/SPK/EST/13.01,2013-02-26,024/SPK/EST/CG/II/13
BAP 13-0128,323/SBM/PRS/12.01,2013-02-26,323/SBM/1/38.24.4/XII/12
BAP 13-0129,238/SBM/RMH/12.03,2013-02-28,238/SBM/1/26.26.1/X/12
BAP 13-0130,221/SBM/RMH/12.04,2013-02-28,221/SBM/1/35.26.1/IX/12
BAP 13-0131,024/SBM/PRS/12.02,2013-03-11,024/SBM/1/35.26.1/II/12
BAP 13-0132,234/SBM/ME/12.02,2013-03-06,234/SBM/1/36.7.6/X/12
BAP 13-0132,234/SBM/ME/12.02,2013-03-06,234/SBM/1/36.7.6/X/12
BAP 13-0132,234/SBM/ME/12.02,2013-03-06,234/SBM/1/36.7.6/X/12
BAP 13-0133,279/SBM/RUKO/12.01,2013-03-06,279/SBM/1/27.26.2/XI/12
BAP 13-0133,279/SBM/RUKO/12.01,2013-03-06,279/SBM/1/27.26.2/XI/12
BAP 13-0135,305/SBM/RMH/12.02,2013-03-07,305/SBM/1/38.26.1/XI/12
BAP 13-0136,262/SBM/ME/12.02,2013-03-07,262/SBM/1/19.6.6/X/12
BAP 13-0137,197/SBM/RMH/12.05,2013-03-07,197/SBM/1/36.26.1/VIII/12
BAP 13-0138,167/SBM/RMH/12.06,2013-03-07,167/SBM/1/36.26.1/VII/12
BAP 13-0139,146/SBM/RMH/12.05,2013-03-07,146/SBM/1/36.26.1/VII/12
BAP 13-0140,233/SBM/RMH/12.03,2013-03-07,233/SBM/1/36.26.1/X/12
BAP 13-0144,189/SBM/RMH/12.03,2013-03-11,189/SBM/1/38.26.1/VIII/12
BAP 13-0145,276/SBM/RMH/12.02,2013-03-11,276/SBM/1/38.26.1/XI/12
BAP 13-0146,184/SBM/RMH/12.04,2013-03-11,184/SBM/1/38.26.1/VIII/12
BAP 13-0147,180/SBM/RMH/12.04,2013-03-11,180/SBM/1/38.26.1/VIII/12
BAP 13-0148,325/SBM/RMH/12.01,2013-03-11,325/SBM/1/38.26.1/XII/12
BAP 13-0148,325/SBM/RMH/12.01,2013-03-11,325/SBM/1/38.26.1/XII/12
BAP 13-0149,229/SBM/RMH/12.04,2013-03-11,229/SBM/1/38.26.1/IX/12
BAP 13-0150,196/SBM/RMH/12.05,2013-03-11,196/SBM/1/38.26.1/VIII/12
BAP 13-0151,240/SBM/RMH/12.04,2013-03-11,240/SBM/1/38.26.1/X/12
BAP 13-0153,151/SBM/PRS/12.03,2013-03-14,151/SBM/1/36.3.4/VII/12
BAP 13-0153,151/SBM/PRS/12.03,2013-03-14,IL.003/K-151/2
BAP 13-0153,151/SBM/PRS/12.03,2013-03-14,IL.003/K-151/2
BAP 13-0153,151/SBM/PRS/12.03,2013-03-14,IL.003/K-151/2
BAP 13-0153,151/SBM/PRS/12.03,2013-03-14,IL.003/K-151/2
BAP 13-0154,186/SBM/RMH/12.05,2013-03-14,186/SBM/1/38.26.1/VIII/12
BAP 13-0155,329/SBM/PROM/12.02,2013-03-14,329/SBM/Prom/Mkt/XII/12
BAP 13-0156,135/SBM/RMH/12.06,2013-03-14,135/SBM/1/35.26.1/VI/12
BAP 13-0157,249/SBM/RMH/12.04,2013-03-21,249/SBM/1/38.26.1/X/12
BAP 13-0158,047/SPK/EST/13.01,2013-03-14,047/SPK/EST/CG/II/13
BAP 13-0159,187/SBM/RMH/12.04,2013-03-19,187/SBM/1/38.26.1/VIII/12
BAP 13-0160,188/SBM/RMH/12.04,2013-03-19,188/SBM/1/38.26.1/VIII/12
BAP 13-0161,183/SBM/RMH/12.03,2013-03-19,183/SBM/1/38.26.1/VIII/12
BAP 13-0162,007/SPK/TMN/13.03,2013-03-14,007/SPK/EST/CG/I/13
BAP 13-0163,259/SBM/TMN/12.03,2013-03-14,259/SBM/1/36.12.5/X/12
BAP 13-0164,024/SPK/EST/13.02,2013-03-14,024/SPK/EST/CG/II/13
BAP 13-0165,051/SBM/PRS/13.01,2013-04-02,051/SBM/1/5.4.4/III/13
BAP 13-0167,248/SBM/ME/12.02,2013-03-18,248/SBM/1/1.6.6/X/12
BAP 13-0168,247/SBM/RMH/12.04,2013-03-21,247/SBM/1/38.26.1/X/12
BAP 13-0169,009/SBM/PRS/13.01,2013-03-18,009/SBM/1/36.13.4/I/13
BAP 13-0169,009/SBM/PRS/13.01,2013-03-18,009/SBM/1/36.13.4/I/13
BAP 13-0169,009/SBM/PRS/13.01,2013-03-18,IL.002/K-009/13
BAP 13-0169,009/SBM/PRS/13.01,2013-03-18,IL.002/K-009/13
BAP 13-0171,218/SBM/PRS/12.03,2013-03-18,218/SBM/1/1.4.4/IX/12
BAP 13-0171,218/SBM/PRS/12.03,2013-03-18,218/SBM/1/1.4.4/IX/12
BAP 13-0171,218/SBM/PRS/12.03,2013-03-18,IL.001/K-218/12
BAP 13-0171,218/SBM/PRS/12.03,2013-03-18,IL.001/K-218/12
BAP 13-0172,288/SPK/EST/12.02,2013-03-19,288/SPK/EST/CG/XI/12
BAP 13-0173,013/SBM/PRS/12.02,2013-03-19,013/SPK/EST/CG/I/13
BAP 13-0174,018/SBM/ME/12.04,2013-03-19,018/SBM/1/36.6.6/I/12
BAP 13-0174,018/SBM/ME/12.04,2013-03-19,018/SBM/1/36.6.6/I/12
BAP 13-0174,018/SBM/ME/12.04,2013-03-19,018/SBM/1/36.6.6/I/12
BAP 13-0177,285/SBM/PRS/12.01,2013-03-19,285/SBM/1/1.3.4/XI/12
BAP 13-0178,015/SPK/EST/13.01,2013-03-19,015/SPK/EST/CG/I/13
BAP 13-0178,015/SPK/EST/13.01,2013-03-19,015/SPK/EST/CG/I/13
BAP 13-0179,282/SPK/EST/12.01,2013-03-19,282/SPK/EST/CG/XI/12
BAP 13-0180,036/SBM/RMH/13.01,2013-03-19,036/SBM/1/36.26.1/II/13
BAP 13-0181,035/SBM/RMH/13.01,2013-03-19,035/SBM/1/36.26.1/II/13
BAP 13-0182,317/SBM/PRS/13.01,2013-03-14,317/SBM/1/36.13.4/XII/12
BAP 13-0183,039/SPK/EST/13.01,2013-03-21,039/SPK/EST/CG/II/13
BAP 13-0184,223/SBM/RMH/12.03,2013-03-21,223/SBM/1/5.26.1/IX/12
BAP 13-0185,006/SBM/PRS/12.01,2013-03-21,006/SBM/1/1.4.4/I/12
BAP 13-0186,254/SBM/RMH/12.04,2013-03-21,254/SBM/1/5.26.1/X/12
BAP 13-0187,055/SPK/EST/13.01,2013-03-21,055/SPK/EST/CG/III/13
BAP 13-0188,025/SPK/EST/13.01,2013-03-22,025/SPK/EST/CG/II/13
BAP 13-0189,251/SBM/PRS/12.02,2013-03-25,251/SBM/1/3.4.4/X/12
BAP 13-0190,014/SPK/EST/13.01,2013-03-25,014/SPK/EST/CG/I/13
BAP 13-0190,014/SPK/EST/13.01,2013-03-25,014/SPK/EST/CG/I/13
BAP 13-0191,280/SBM/RMH/12.02,2013-03-27,280/SBM/1/26.26.1/XI/12
BAP 13-0192,025/SPK/EST/13.02,2013-03-28,025/SPK/EST/CG/II/13
BAP 13-0193,117/SBM/PRS/12.02,2013-03-28,117/SBM/1/37.2.4/VI/12
BAP 13-0194,063/SBM/RMH/13.01,2013-03-28,063/SBM/1/29.26.1/III/13
BAP 13-0195,190/SBM/PRS/12.02,2013-03-28,190/SBM/1/37.2.4/VIII/12
BAP 13-0196,263/SBM/PRS/12.02,2013-03-28,263/SBM/1/37.2.4/X/12
BAP 13-0197,166/SBM/RMH/12.05,2013-03-28,166/SBM/1/38.26.1/VII/12
BAP 13-0198,147/SBM/RMH/12.04,2013-03-28,147/SBM/1/5.26.1/VII/12
BAP 13-0199,270/SBM/RMH/12.04,2013-03-28,270/SBM/1/31.26.1/X/12
BAP 13-0200,050/SBM/RMH/13.01,2013-03-28,050/SBM/1/31.26.1/II/13
BAP 13-0201,044/SBM/RMH/13.01,2013-03-28,044/SBM/1/31.26.1/II/13
BAP 13-0202,064/SBM/RMH/13.01,2013-03-28,064/SBM/1/31.26.1/III/13
BAP 13-0203,225/SBM/PRS/12.02,2013-04-01,225/SBM/1/35.3.4/IX/12
BAP 13-0203,225/SBM/PRS/12.02,2013-04-01,IL.002/T-225/12
BAP 13-0203,225/SBM/PRS/12.02,2013-04-01,IL.002/T-225/12
BAP 13-0203,225/SBM/PRS/12.02,2013-04-01,IL.003/T-225/12
BAP 13-0203,225/SBM/PRS/12.02,2013-04-01,IL.003/T-225/12
BAP 13-0204,284/SBM/RMH/12.03,2013-04-04,284/SBM/1/38.26.1/XI/12
BAP 13-0205,042/SBM/PRS/13.01,2013-04-04,042/SBM/1/27.4.4/II/13
BAP 13-0207,033/SBM/PND/13.01,2013-04-04,033/SBM/1/36.12.5/II/13
BAP 13-0208,167/SBM/RMH/12.07,2013-04-04,167/SBM/1/36.26.1/VII/12
BAP 13-0209,233/SBM/RMH/12.04,2013-04-04,233/SBM/1/36.26.1/X/12
BAP 13-0210,106/SBM/ME/12.01,2013-04-05,106/SBM/1/1.6.6/V/12
BAP 13-0210,106/SBM/ME/12.01,2013-04-05,106/SBM/1/1.6.6/V/12
BAP 13-0211,109/SBM/TMN/12.02,2013-04-08,109/SBM/1/26.12.5/V/12
BAP 13-0213,163/SBM/ME/12.02,2013-04-08,163/SBM/1/38.6.6/VII/12
BAP 13-0213,163/SBM/ME/12.02,2013-04-08,163/SBM/1/38.6.6/VII/12
BAP 13-0213,163/SBM/ME/12.02,2013-04-08,163/SBM/1/38.6.6/VII/12
BAP 13-0213,163/SBM/ME/12.02,2013-04-08,163/SBM/1/38.6.6/VII/12
BAP 13-0213,163/SBM/ME/12.02,2013-04-08,163/SBM/1/38.6.6/VII/12
BAP 13-0214,324/SBM/PRS/12.02,2013-03-19,324/SBM/1/34.3.4/XII/12
BAP 13-0214,324/SBM/PRS/12.02,2013-03-19,IL.002/K-324/12
BAP 13-0214,324/SBM/PRS/12.02,2013-03-19,IL.002/K-324/12
BAP 13-0215,228/SBM/RMH/12.3,2013-04-09,228/SBM/1/5.26.1/IX/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,169/SBM/1/38.3.4/VII/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,169/SBM/1/38.3.4/VII/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,169/SBM/1/38.3.4/VII/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,169/SBM/1/38.3.4/VII/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,IL.002/T-169/12
BAP 13-0216,169/SBM/PRS/12.02,2013-04-11,IL.002/T-169/12
BAP 13-0217,203/SBM/EST/12.02,2013-04-11,203/SPK/EST/CG/IX/12
BAP 13-0218,016/SBM/RMH/13.01,2013-04-11,016/SBM/1/38.26.1/I/13
BAP 13-0219,032/SBM/PROM/13.01,2013-04-11,032/SBM/Prom/Mkt/II/13
BAP 13-0220,146/SBM/RMH/12.06,2013-04-09,146/SBM/1/36.26.1/VII/12
BAP 13-0225,033/SBM/PND/13.02,2013-04-11,033/SBM/1/36.12.5/II/13
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,022/SBM/1/38.26.1/II/12
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,022/SBM/1/38.26.1/II/12
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,IL.004/T-022/12
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,IL.007/T-022/12
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,IL.004/T-022/12
BAP 13-0226,022/SBM/RMH/12.05,2013-04-11,IL.007/T-022/12
BAP 13-0227,158/SBM/TMN/12.02,2013-04-16,158/SBM/1/1.12.5/VII/12
BAP 13-0227,158/SBM/TMN/12.02,2013-04-16,IL.001/K-158/12
BAP 13-0228,091/SBM/TMN/12.02,2013-04-16,091/SBM/1/36.12.5/IV/12
BAP 13-0228,091/SBM/TMN/12.02,2013-04-16,IL.002/K-091/12
BAP 13-0229,159/SBM/TMN/12.02,2013-04-16,159/SBM/1/1.12.5/VII/12
BAP 13-0230,299/SBM/RMH/12.02,2013-04-16,299/SBM/1/38.26.1/XI/12
BAP 13-0231,019/SBM/PRS/13.01,2013-04-16,019/SBM/1/34.3.4/II/13
BAP 13-0232,080/SPK/EST/13.01,2013-04-16,080/SBPK/EST/CG/IV/13
BAP 13-0234,077/SBM/PRS/13.01,2013-04-16,077//SBM/1/9.3.4/IV/13
BAP 13-0235,078/SPK/EST/CG/IV/13,2013-04-16,078/SPK/EST/CG/IV/13
BAP 13-0236,175/SBM/RMH/12.06,2013-04-16,175/SBM/1/35.26.1/VIII/12
BAP 13-0237,007/SPK/TMN/13.04,2013-04-16,007/SPK/EST/CG/I/13
BAP 13-0239,079/SPK/EST/13.01,2013-04-18,079/SPK/EST/CG/IV/13
BAP 13-0240,165/SBM/PRS/12.02,2013-04-18,165/SBM/1/34.13.4/VII/12
BAP 13-0240,165/SBM/PRS/12.02,2013-04-18,IL.001/K-165/12
BAP 13-0240,165/SBM/PRS/12.02,2013-04-18,IL.003/T-165/12
BAP 13-0240,165/SBM/PRS/12.02,2013-04-18,IL.001/K-165/12
BAP 13-0240,165/SBM/PRS/12.02,2013-04-18,IL.003/T-165/12
BAP 13-0241,279/SBM/RUKO/12.02,2013-04-19,279/SBM/1/27.26.2/XI/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,283/SBM/1/19.3.4/XI/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.001/T-283/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.001/T-283/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.002/T-283/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.002/T-283/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.001/T-283/12
BAP 13-0242,283/SBM/PRS/12.03,2013-04-18,IL.002/T-283/12
BAP 13-0243,238/SBM/RMH/12.04,2013-04-18,238/SBM/1/26.26.1/X/12
BAP 13-0244,035/SBM/RMH/13.02,2013-04-18,035/SBM/1/36.26.1/II/13
BAP 13-0245,314/SBM/KSL/12.01,2013-04-18,314/SBM/1/1.1.7/XII/12
BAP 13-0246,041/SBM/KSL/13.01,2013-04-19,041/SBM/1/36.1.8/II/13
BAP 13-0247,023/SBM/KSL/13.01,2013-04-18,023/SBM/1/1.1.7/II/13
BAP 13-0248,247/SBM/RMH/12.05,2013-04-22,247/SBM/1/38.26.1/X/12
BAP 13-0249,134/SBM/RMH/12.04,2013-04-18,134/SBM/1/36.26.1/VI/12
