no_voucher,dpp,ppn,pph
064/SBM/RMH/12.04,457810878,45781088,9156218
064/SBM/RMH/12.04,457810878,45781088,9156218
064/SBM/RMH/12.04,457810878,45781088,9156218
064/SBM/RMH/12.04,457810878,45781088,9156218
228/SBM/RMH/12.2,180909915,18090991,7236397
239/SBM/TMN/12.02,515430600,51543060,10308612
239/SBM/TMN/12.02,515430600,51543060,10308612
166/SBM/RMH/12.04,168447134,16844713,6737885
245/SBM/RMH/12.03,181106373,18110637,7244255
012/SBM/RMH/12.01,54464400,5446440,1089288
022/SBM/RMH/13.01,117383610,11738361,2347672
210/SBM/TMN/12.01,22500000,2250000,675000
210/SBM/TMN/12.01,22500000,2250000,675000
222/SBM/RMH/12.03,100317340,10031734,2006347
127/SBM/TMN/12.02,1095000,109500,32850
274/SBM/PRS/12.01,18050000,0,722000
024/SPK/EST/13.01,19885200,0,795408
323/SBM/PRS/12.01,27272728,2727273,545455
238/SBM/RMH/12.03,177456139,17745614,3549123
221/SBM/RMH/12.04,146097798,14609780,2921956
024/SBM/PRS/12.02,2267509,226751,45350
234/SBM/ME/12.02,248710800,24871080,7461324
234/SBM/ME/12.02,248710800,24871080,7461324
234/SBM/ME/12.02,248710800,24871080,7461324
279/SBM/RUKO/12.01,753876702,75387670,15077534
279/SBM/RUKO/12.01,753876702,75387670,15077534
305/SBM/RMH/12.02,108983275,10898327,4359331
262/SBM/ME/12.02,10951650,1095165,438066
197/SBM/RMH/12.05,103577708,10357771,3107331
167/SBM/RMH/12.06,33595040,3359504,1007851
146/SBM/RMH/12.05,146078498,14607850,4382355
233/SBM/RMH/12.03,38634296,3863430,1159029
189/SBM/RMH/12.03,225319907,22531991,4506398
276/SBM/RMH/12.02,192896422,19289642,3857928
184/SBM/RMH/12.04,194900446,19490045,3898009
180/SBM/RMH/12.04,191553419,19155342,3831068
325/SBM/RMH/12.01,48599201,4859920,971984
325/SBM/RMH/12.01,48599201,4859920,971984
229/SBM/RMH/12.04,21850179,2185018,437004
196/SBM/RMH/12.05,64087596,6408760,1281752
240/SBM/RMH/12.04,111935193,11193519,2238704
151/SBM/PRS/12.03,142666596,14266660,2853332
151/SBM/PRS/12.03,142666596,14266660,2853332
151/SBM/PRS/12.03,142666596,14266660,2853332
151/SBM/PRS/12.03,142666596,14266660,2853332
151/SBM/PRS/12.03,142666596,14266660,2853332
186/SBM/RMH/12.05,141408777,14140878,2828176
329/SBM/PROM/12.02,97875000,9787500,1957500
135/SBM/RMH/12.06,184315319,18431532,3686306
249/SBM/RMH/12.04,91795935,9179594,3671837
047/SPK/EST/13.01,67869520,6786952,2036086
187/SBM/RMH/12.04,97431881,9743188,2922956
188/SBM/RMH/12.04,70062548,7006255,2101876
183/SBM/RMH/12.03,73859422,7385942,2215783
007/SPK/TMN/13.03,3600000,360000,108000
259/SBM/TMN/12.03,23700000,2370000,711000
