project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,016/SBM/1/1.6.6/I/12,BAP 13-0048,016/SBM/1/1.6.6/I/12,2012-05-19,2,0,5,2092724,0
3,016/SBM/1/1.6.6/I/12,BAP 13-0048,IL.003/T-016/12,2012-05-24,2,0,5,188300,0
3,016/SBM/1/1.6.6/I/12,BAP 13-0048,IL.003/T-016/12,2012-09-18,0,0,15,564900,0
3,016/SBM/1/1.6.6/I/12,BAP 13-0048,IL.003/T-016/12,2012-09-18,1,100,80,3012800,0
3,120/SBM/1/38.26.1/VI/12,BAP 13-0049,120/SBM/1/38.26.1/VI/12,2012-10-14,5,19,19,187477581,9373879
3,186/SBM/1/38.26.1/VIII/12,BAP 13-0050,186/SBM/1/38.26.1/VIII/12,2012-10-03,3,16,16,138594503,6929725
3,131/SBM/1/38.26.1/VI/12,BAP 13-0051,131/SBM/1/38.26.1/VI/12,2012-09-29,4,14,14,66202718,3310136
3,196/SBM/1/38.26.1/VIII/12,BAP 13-0053,196/SBM/1/38.26.1/VIII/12,2012-10-30,3,20,20,141420079,7071004
3,240/SBM/1/38.26.1/X/12,BAP 13-0054,240/SBM/1/38.26.1/X/12,2012-11-04,2,27,27,231075605,11553780
3,229/SBM/1/38.26.1/IX/12,BAP 13-0056,229/SBM/1/38.26.1/IX/12,2012-10-27,2,30,30,41903292,2095165
3,164/SBM/1/38.26.1/VII/12,BAP 13-0057,164/SBM/1/38.26.1/VII/12,2012-09-23,3,19,19,136564933,6828247
3,192/SBM/1/36.24.4/VIII/12,BAP 13-0058,192/SBM/1/36.24.4/VIII/12,2012-08-16,1,100,45,37566818,0
3,283/SBM/1/19.3.4/XI/12,BAP 13-0059,283/SBM/1/19.3.4/XI/12,2012-11-16,1,100,45,99000000,0
3,072/SBM/1/27.26.1/III/12,BAP 13-0060,072/SBM/1/27.26.1/III/12,2012-06-20,4,9,9,36851363,1842568
3,072/SBM/1/27.26.1/III/12,BAP 13-0060,072/SBM/1/27.26.1/III/12,2012-07-20,5,17,17,71271123,3563556
3,280/SBM/1/26.26.1/XI/12,BAP 13-0061,280/SBM/1/26.26.1/XI/12,2012-11-12,0,0,15,184156200,0
3,147/SBM/1/5.26.1/VII/12,BAP 13-0062,147/SBM/1/5.26.1/VII/12,2012-08-06,2,12,12,209089770,10454489
3,080/SBM/1/38.3.4/IV/12,BAP 13-0063,080/SBM/1/38.3.4/IV/12,2012-05-05,2,45,45,35883409,0
3,080/SBM/1/38.3.4/IV/12,BAP 13-0063,IL.005/T-080/12,2013-01-17,1,100,95,15286364,0
3,284/SBM/1/38.26.1/XI/12,BAP 13-0064,284/SBM/1/38.26.1/XI/12,2012-11-07,1,28,13,83107750,9002263
3,151/SBM/1/36.3.4/VII/12,BAP 13-0065,151/SBM/1/36.3.4/VII/12,2012-07-09,1,40,25,123775500,9976275
3,249/SBM/1/38.26.1/X/12,BAP 13-0066,249/SBM/1/38.26.1/X/12,2012-11-11,2,15,15,78945900,3947295
3,303/SBM/1/36.2.4/XI/12,BAP 13-0070,303/SBM/1/36.2.4/XI/12,2012-11-30,0,0,50,70000000,0
3,303/SBM/1/36.2.4/XI/12,BAP 13-0070,303/SBM/1/36.2.4/XI/12,2012-11-30,1,100,45,63000000,0
3,303/SBM/1/36.2.4/XI/12,BAP 13-0070,IL.002/K-303/12,2012-12-03,0,0,50,-2914500,0
3,303/SBM/1/36.2.4/XI/12,BAP 13-0070,IL.002/K-303/12,2013-01-02,1,100,45,-2623050,0
3,043/SBM/1/19.26.2/II/12,BAP 13-0071,043/SBM/1/19.26.2/II/12,2012-03-22,2,30,30,514148356,25707418
3,281/SBM/1/1.1.8/XI/12,BAP 13-0072,281/SBM/1/1.1.8/XI/12,2012-12-13,2,50,50,10750000,0
3,315/SBM/1/38.2.4/XII/12,BAP 13-0073,315/SBM/1/38.2.4/XII/12,2012-12-10,1,100,95,7772727,0
3,264/SBM/1/36.4.4/X/12,BAP 13-0074,264/SBM/1/36.4.4/X/12,2012-11-19,2,10,10,17573273,878664
3,264/SBM/1/36.4.4/X/12,BAP 13-0074,264/SBM/1/36.4.4/X/12,2012-12-19,3,10,10,17573273,878664
3,264/SBM/1/36.4.4/X/12,BAP 13-0074,264/SBM/1/36.4.4/X/12,2013-01-19,4,19,19,32826873,1641344
3,264/SBM/1/36.4.4/X/12,BAP 13-0074,264/SBM/1/36.4.4/X/12,2013-02-19,5,17,17,29874564,1493728
3,018/SBM/1/1.13.3/II/13,BAP 13-0076,018/SBM/1/1.13.3/II/13,2013-02-01,1,100,95,7421875,0
3,252/SPK/EST/CG/X/12,BAP 13-0077,252/SPK/EST/CG/X/12,2012-10-16,1,100,95,18050000,0
3,189/SBM/1/38.26.1/VIII/12,BAP 13-0078,189/SBM/1/38.26.1/VIII/12,2012-08-13,1,48,33,276171798,20166136
