BAP 16-0023,001/CLCS/2-DC-10/IV/2015,2016-08-11,001/CLCS/2-DC-10/IV/2015
BAP 16-0024,006/PGM/1/.1.4.4/V/16,2016-08-25,006/PGM/1/.1.4.4/V/16
BAP 16-0026,015/PGM/1/1.27.3/VII/16,2016-09-13,015/PGM/1/1.27.3/VII/16
BAP 16-0027,016/PGM/MKT/PROM/XII/15,2016-09-07,016/PGM/MKT/PROM/XII/15
BAP 16-0028,021/PGM/MKT/PROM/IX/16,2016-09-07,021/PGM/MKT/PROM/IX/16
BAP 16-0029,014/PGM/1/1.5.4/VII/16,2016-09-06,014/PGM/1/1.5.4/VII/16
BAP 16-0030,010/PGM/1/.1.1.8/VI/16,2016-09-15,010/PGM/1/.1.1.8/VI/16
BAP 16-0031,003/PGM/1/1.1.8/III/16,2016-09-16,003/PGM/1/1.1.8/III/16
BAP 16-0032,017/PGM/1/1.27.1/VIII/16,2016-10-04,017/PGM/1/1.27.1/VIII/16
BAP 16-0033,036/PGM/1/1.27.1/IX/16,2016-10-11,036/PGM/1/1.27.1/IX/16
BAP 16-0034,015/PGM/1/1.27.3/VII/16,2016-10-06,015/PGM/1/1.27.3/VII/16
BAP 16-0037,006/PGM/1/.1.4.4/V/16,2016-09-20,006/PGM/1/.1.4.4/V/16
BAP 16-0038,006/PGM/1/.1.4.4/V/16,2016-10-07,006/PGM/1/.1.4.4/V/16
BAP 16-0039,020/PGM/1/1.1.8/VIII/16,2016-10-13,020/PGM/1/1.1.8/VIII/16
BAP 16-0041,026/PGM/1/1.27.4/IX/16,2016-10-13,026/PGM/1/1.27.4/IX/16
BAP 16-0042,027/PGM/1/1.4.4/IX/16,2016-10-13,027/PGM/1/1.4.4/IX/16
BAP 16-0043,024/PGM/1/1.1.8/IX/16,2016-09-22,024/PGM/1/1.1.8/IX/16
BAP 16-0044,024/PGM/1/1.1.8/IX/16,2016-10-20,024/PGM/1/1.1.8/IX/16
BAP 16-0045,019/PGM/1/1.5.4/VIII/16,2016-10-20,019/PGM/1/1.5.4/VIII/16
BAP 16-0046,028/PGM/1/1.1.8/IX/16,2016-10-24,028/PGM/1/1.1.8/IX/16
BAP 16-0047,032/PGM/1/1.3.4/IX/16,2016-10-25,032/PGM/1/1.3.4/IX/16
BAP 16-0051,023/PGM/1/1.5.4/IX/16,2016-11-01,023/PGM/1/1.5.4/IX/16
BAP 16-0053,017/PGM/1/1.27.1/VIII/16,2016-11-03,017/PGM/1/1.27.1/VIII/16
BAP 16-0057,016/PGM/1/2.27.1/VII/16,2016-10-10,016/PGM/1/2.27.1/VII/16
BAP 16-0058,016/PGM/1/2.27.1/VII/16,2016-11-03,016/PGM/1/2.27.1/VII/16
BAP 16-0058,016/PGM/1/2.27.1/VII/16,2016-11-03,016/PGM/1/2.27.1/VII/16
BAP 16-0058,016/PGM/1/2.27.1/VII/16,2016-11-03,016/PGM/1/2.27.1/VII/16
BAP 16-0058,016/PGM/1/2.27.1/VII/16,2016-11-03,016/PGM/1/2.27.1/VII/16
BAP 16-0059,033/PGM/MKT/PROM/IX/16,2016-11-14,033/PGM/MKT/PROM/IX/16
BAP 16-0062,041/PGM/1/1.27.3/XI/16,2016-11-23,041/PGM/1/1.27.3/XI/16
BAP 16-0065,020/PGM/1/1.1.8/VIII/16,2016-11-22,020/PGM/1/1.1.8/VIII/16
BAP 16-0065,020/PGM/1/1.1.8/VIII/16,2016-11-22,020/PGM/1/1.1.8/VIII/16
BAP 16-0065,020/PGM/1/1.1.8/VIII/16,2016-11-22,020/PGM/1/1.1.8/VIII/16
