project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,003/PGM/1/1.4.4/I/17,BAP 17-0092,2017-05-20,2,0,5,2221045,0
61,021/PGM/1/1.3.4/IV/17,BAP 17-0093,2017-06-19,3,6,36,204374546,10218727
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-01-20,0,0,30,52713273,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-01-30,1,65,30,52713273,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-02-28,2,35,30,52713273,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-05-14,3,0,10,17571091,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-01-20,0,0,30,-13244370,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-01-30,1,65,30,-13244370,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-02-28,2,35,30,-13244370,0
61,004/PGM/1/1.12.5/I/17,BAP 17-0094,2017-05-14,3,0,10,-4414790,0
61,022/PGM/1/1.3.4/IV/17,BAP 17-0095,2017-07-17,3,33,33,129897070,6494854
61,030/PGM/1/1.4.4/V/17,BAP 17-0096,2017-09-28,2,0,5,25196818,0
61,036/PGM/1/1.12.5/VII/17,BAP 17-0097,2017-08-09,1,100,90,21150000,0
61,023/PGM/1/1.12.5/IV/17,BAP 17-0098,2017-08-01,3,0,10,7918100,0
61,023/PGM/1/1.12.5/IV/17,BAP 17-0098,2017-04-12,0,0,30,8795700,0
61,023/PGM/1/1.12.5/IV/17,BAP 17-0098,2017-04-17,1,35,30,8795700,0
61,023/PGM/1/1.12.5/IV/17,BAP 17-0098,2017-05-17,2,65,30,8795700,0
61,023/PGM/1/1.12.5/IV/17,BAP 17-0098,2017-08-01,3,0,10,2931900,0
61,025/PGM/1/1.12.5/IV/17,BAP 17-0099,2017-07-24,3,0,10,21357900,0
61,025/PGM/1/1.12.5/IV/17,BAP 17-0099,2017-04-03,0,0,30,1512900,0
61,025/PGM/1/1.12.5/IV/17,BAP 17-0099,2017-05-23,1,65,35,1765050,327795
61,025/PGM/1/1.12.5/IV/17,BAP 17-0099,2017-06-23,2,35,35,1765050,176505
61,025/PGM/1/1.12.5/IV/17,BAP 17-0099,2017-07-24,3,0,10,504300,0
61,035/PGM/1/1.2.4/VIII/17,BAP 17-0100,2017-07-31,0,0,15,314910000,0
61,016/PGM/MKT/PROM/III/17,BAP 17-0101,2017-04-03,1,100,50,60900000,0
61,033/PGM/MKT/PROM/VI/17,BAP 17-0102,2017-06-15,1,100,50,20400000,0
61,036/PGM/1/1.12.5/VII/17,BAP 17-0103,2017-10-30,2,0,10,2350000,0
61,037/PGM/1/7.26.1/IX/17,BAP 17-0104,2017-09-08,0,0,15,744618105,0
61,006/PGM/1/1.4.4/I/17,BAP 17-0106,2017-02-16,1,43,28,378478900,29025695
61,006/PGM/1/1.4.4/I/17,BAP 17-0108,2017-03-16,2,22,37,497006100,24850305
61,040/PGM/1/1.1.4/IX/17,BAP 17-0109,2017-09-15,0,0,50,3158750,0
61,035/PGM/1/1.2.4/VIII/17,BAP 17-0111,2017-09-06,1,43,28,589721460,45231573
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2017-05-03,6,0,5,6375000,0
