no_bap,no_voucher,date,spk
BAP 18-0184,067-18-06,2018-11-15,067/ME/66.CC.0/VII/2018
BAP 18-0185,047-18-07,2018-11-15,047/ME/66.CC.0/V/2018
BAP 18-0186,048-18-07,2018-11-15,048/ME/66.CC.0/V/2018
BAP 18-0187,075-18-03,2018-11-15,075/ME/2.DC.4/VIII/2018
BAP 18-0188,065-18-01,2018-11-15,065/ME/2.DC.4/VII/2018
BAP 18-0189,036-18-02,2018-11-15,036/ME/2.DC.10/V/2018
BAP 18-0190,066-18-03,2018-11-15,066/ME/62.CC.0/VII/2018
BAP 18-0191,071-18-03,2018-11-19,071/ME/66.CC.0/VII/2018
BAP 18-0192,038-18-04,2018-11-19,038/ME/62.CC.0/V/2018
BAP 18-0193,057-18-04,2018-11-19,057/ME/62.CC.0/VI/2018
BAP 18-0194,029-18-05,2018-11-19,029/ME/62.CC.0/IV/2018
BAP 18-0195,094-18-02,2018-11-22,094/ME/66.DC.3/X/2018
BAP 18-0196,040-18-05,2018-11-22,040/ME/62.CC.0/V/2018
BAP 18-0197,111-18-01,2018-11-16,111/ME/66.CC.0/XI/2018
BAP 18-0198,084-18-04,2018-11-22,084/ME/66.CC.0/IX/2018
BAP 18-0199,086-18-03,2018-11-26,086/ME/66.CC.0/IX/2018
BAP 18-0200,085-18-03,2018-11-26,085/ME/66.CC.0/IX/2018
BAP 18-0201,030-18-07,2018-11-26,030/ME/62.CC.0/IV/2018
BAP 18-0202,110-18-01,2018-11-16,110/ME/62.CC.0/XI/2018
BAP 18-0203,109-18-01,2018-11-16,109/ME/62.CC.0/XI/2018
BAP 18-0204,108-18-01,2018-11-16,108/ME/62.CC.0/XI/2018
BAP 18-0205,098-18-02,2018-11-27,098/ME/66.CC.0/X/2018
BAP 18-0206,077-18-02,2018-11-27,077/ME/66.DC.9/IX/2018
BAP 18-0207,091-18-02,2018-11-27,091/ME/66.DC.9/IX/2018
BAP 18-0208,047-18-08,2018-11-29,047/ME/66.CC.0/V/2018
BAP 18-0209,112-18-01,2018-11-16,112/ME/66.CC.0/XI/2018
BAP 18-0210,103-18-01,2018-11-29,103/ME/62.DC.9/X/2018
BAP 18-0211,044-18-04,2018-11-29,044/ME/67.CC.0/V/2018
BAP 18-0212,045-18-04,2018-11-29,045/ME/67.CC.0/V/2018
BAP 18-0213,043-18-04,2018-11-29,043/ME/67.CC.0/V/2018
BAP 18-0214,042-18-04,2018-11-29,042/ME/67.CC.0/V/2018
BAP 18-0215,079-18-02,2018-11-29,079/ME/62.CC.0/IX/2018
BAP 18-0216,082-18-03,2018-11-29,082/ME/62.CC.0/IX/2018
BAP 18-0217,081-18-02,2018-11-29,081/ME/62.CC.0/IX/2018
BAP 18-0218,080-18-03,2018-11-29,080/ME/62.CC.0/IX/2018
BAP 18-0219,056-18-03,2018-11-29,056/ME/62.CC.0/VI/2018
BAP 18-0220,101-18-02,2018-11-29,101/ME/62.CC.0/X/2018
BAP 18-0221,100-18-02,2018-11-29,100/ME/66.CC.0/X/2018
BAP 18-0222,113-18-01,2018-11-16,113/ME/66.CC.0/XI/2018
BAP 18-0223,058-18-04,2018-11-29,058/ME/66.DC.10/VII/2018
BAP 18-0224,049-18-04,2018-11-29,049/ME/66.CC.0/V/2018
BAP 18-0225,069-18-04,2018-11-29,069/ME/66.CC.0/VII/2018
BAP 18-0226,083-18-04,2018-11-29,083/ME/66.CC.0/IX/2018
BAP 18-0227,097-18-02,2018-11-29,097/ME/66.CC.0/X/2018
BAP 18-0228,046-18-05,2018-11-29,046/ME/69.DC.4/V/2018
BAP 18-0229,070-18-06,2018-11-29,070/ME/66.CC.0/VII/2018
BAP 18-0230,096-18-01,2018-12-04,096/ME/62.DC.9/X/2018
BAP 18-0231,099-18-02,2018-12-06,099/ME/66.CC.0/X/2018
BAP 18-0232,074-18-04,2018-12-11,074/ME/66.DC.3/VIII/2018
BAP 18-0232,074-18-04,2018-12-10,074/ME/66.DC.3/VIII/2018
BAP 18-0233,094-18-03,2018-12-13,094/ME/66.DC.3/X/2018
BAP 18-0234,106-18-01,2018-12-13,106/ME/66.DC.9/XI/2018
BAP 18-0235,078-18-03,2018-12-13,078/ME/69.DC.3/IX/2018
BAP 18-0237,090-18-01,2018-09-28,090/ME/2.DC.5/IX/2018
BAP 18-0238,087-18-01,2018-09-19,087/ME/66.CC.0/IX/2018
BAP 18-0239,088-18-01,2018-09-19,088/ME/66.CC.0/IX/2018
BAP 18-0240,114-18-01,2018-11-16,114/ME/66.CC.0/XI/2018
BAP 18-0241,085-18-04,2018-12-10,085/ME/66.CC.0/IX/2018
