3,192/SBM/1/42.12.5/XII/16,BAP 17-0048,2017-01-23,3,30,25,8895000,0,192/SBM/1/42.12.5/XII/16
3,192/SBM/1/42.12.5/XII/16,BAP 17-0048,2017-01-18,1,100,85,-1289682,0,VO.001-192/16
3,187/SBM/1/35.4.4/X/15,BAP 17-0056,2015-12-22,3,5,5,48985930,2578207,187/SBM/1/35.4.4/X/15
3,187/SBM/1/35.4.4/X/15,BAP 17-0056,2016-01-22,4,8,8,75830219,3991064,187/SBM/1/35.4.4/X/15
3,187/SBM/1/35.4.4/X/15,BAP 17-0056,2016-02-22,5,14,14,133535644,7028192,187/SBM/1/35.4.4/X/15
3,187/SBM/1/35.4.4/X/15,BAP 17-0056,2017-01-17,0,0,15,-16942091,0,Add-01-187/15
3,187/SBM/1/35.4.4/X/15,BAP 17-0056,2017-01-17,1,100,85,-90357818,-5647364,Add-01-187/15
3,189/SBM/1/42.6.6/XI/16,BAP 17-0065,2016-11-18,1,100,50,35981500,0,189/SBM/1/42.6.6/XI/16
3,018/SBM/1/35.5.6/II/17,BAP 17-0115,2017-02-10,0,0,45,15985125,0,018/SBM/1/35.5.6/II/17
3,132/SBM/1/35.12.5/VIII/16,BAP 17-0149,2016-11-27,4,0,15,4800000,0,132/SBM/1/35.12.5/VIII/16
3,192/SBM/1/42.12.5/XII/16,BAP 17-0316,2017-03-15,4,0,15,5337000,0,192/SBM/1/42.12.5/XII/16
3,192/SBM/1/42.12.5/XII/16,BAP 17-0316,2017-04-26,2,0,15,-227591,0,VO.001-192/16
3,127/SBM/1/42.5.6/IX/17,BAP 17-0407,2017-09-08,0,0,65,49197505,0,127/SBM/1/42.5.6/IX/17
3,127/SBM/1/42.5.6/IX/17,BAP 17-0447,2017-09-18,1,100,25,18922117,0,127/SBM/1/42.5.6/IX/17
3,018/SBM/1/35.5.6/II/17,BAP 17-0460,2017-02-10,1,100,50,17761250,0,018/SBM/1/35.5.6/II/17
3,018/SBM/1/35.5.6/II/17,BAP 17-0460,2017-06-13,2,0,5,1776125,0,018/SBM/1/35.5.6/II/17
3,187/SBM/1/35.4.4/X/15,BAP 18-0023,2016-04-23,6,0,5,51564136,0,187/SBM/1/35.4.4/X/15
3,187/SBM/1/35.4.4/X/15,BAP 18-0023,2017-05-07,2,0,5,-5647364,0,Add-01-187/15
3,060/SBM/1/42.5.6/III/16,BAP 18-0174,2016-10-08,6,0,5,19875000,0,060/SBM/1/42.5.6/III/16
3,127/SBM/1/42.5.6/IX/17,BAP 18-0224,2018-02-12,2,0,10,7568847,0,127/SBM/1/42.5.6/IX/17
3,092/SBM/1/42.6.6/V/16,BAP 18-0280,2016-11-16,6,0,5,3919375,0,092/SBM/1/42.6.6/V/16
