009/SBM/1/35.4.4/I/17,33313920,0,20,0,20,0,20,0,20,0,20,0,0
159/SBM/1/35.4.4/VII/18,869000,0,20,0,20,0,20,0,20,0,20,0,0
151/SBM/1/35.12.5/X/17,1937540,0,20,0,20,0,20,0,20,0,20,0,0
031/SBM/1/35.26.1/II/13,2467650,0,20,0,20,0,20,0,20,0,20,0,0
047/SBM/1/35.26.1/II/18,148745363,0,20,0,20,0,20,0,20,0,20,0,0
062/SBM/1/35.26.1/III/13,15017200,0,20,0,20,0,20,0,20,0,20,0,0
127/SBM/1/35.26.1/V/18,186991890,0,20,0,20,0,20,0,20,0,20,0,0
150/SBM/1/35.26.1/VII/18,265561619,0,20,0,20,0,20,0,20,0,20,0,0
138/SBM/1/35.26.1/VIII/16,29608212,0,20,0,20,0,20,0,20,0,20,0,0
144/SBM/1/35.26.1/VIII/16,19137600,0,20,0,20,0,20,0,20,0,20,0,0
302/SBM/1/35.26.1/X/13,52110757,0,20,0,20,0,20,0,20,0,20,0,0
188/SBM/1/35.3.4/VII/13,236625,0,20,0,20,0,20,0,20,0,20,0,0
113/SBM/1/35.4.4/VI/12,5414550,0,20,0,20,0,20,0,20,0,20,0,0
037/SBM/1/35.5.6/II/14,1377255,0,20,0,20,0,20,0,20,0,20,0,0
163/SBM/1/35.5.6/VII/18,8171000,0,20,0,20,0,20,0,20,0,20,0,0
096/SBM/1/35.26.1/VII/17,5000000,0,20,0,20,0,20,0,20,0,20,0,0
171/SBM/1/35.4.4/XI/17,9428595,0,20,0,20,0,20,0,20,0,20,0,0
148/SBM/1/35.12.5/IX/11,3190000,0,20,0,20,0,20,0,20,0,20,0,0
132/SBM/1/35.12.5/VIII/11,650000,0,20,0,20,0,20,0,20,0,20,0,0
161/SBM/1/35.26.1/IX/11,26508381,0,20,0,20,0,20,0,20,0,20,0,0
103/SBM/1/35.26.1/VI/11,27836050,0,20,0,20,0,20,0,20,0,20,0,0
019/SBM/1/35.4.4/II/11,3743800,0,20,0,20,0,20,0,20,0,20,0,0
160/SBM/1/5.2.4/XI/17,4466608,0,20,0,20,0,20,0,20,0,20,0,0
014/SBM/1/5.26.1/I/18,166061575,0,20,0,20,0,20,0,20,0,20,0,0
201/SBM/1/5.4.4/IX/18,21450000,0,20,0,20,0,20,0,20,0,20,0,0
054/SBM/1/5.5.6/III/12,3572250,0,20,0,20,0,20,0,20,0,20,0,0
111/SBM/1/5.1.7/VII/10,11439120,0,20,0,20,0,20,0,20,0,20,0,0
061/SBM/1/5.2.4/IV/11 (RO),24602070,0,20,0,20,0,20,0,20,0,20,0,0
