15267,2097,RUKO_SDT_82.5,AR01/01,AR01/01,82.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/02,AR01/02,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/03,AR01/03,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD,AR01/05,AR01/05,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/06,AR01/06,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/07,AR01/07,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/08,AR01/08,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/09,AR01/09,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/10,AR01/10,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/11,AR01/11,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/12,AR01/12,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/15,AR01/15,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD,AR01/16,AR01/16,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/17,AR01/17,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/18,AR01/18,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/19,AR01/19,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/20,AR01/20,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/21,AR01/21,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/23,AR01/23,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/25,AR01/25,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/26,AR01/26,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/27,AR01/27,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/28,AR01/28,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD_197,AR01/29,AR01/29,67.5,197.00,1,1,1,0
15267,2097,RUKO_STD,AR01/30,AR01/30,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/32,AR01/32,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/33,AR01/33,67.5,131.00,1,1,1,0
15267,2097,RUKO_STD,AR01/35,AR01/35,67.5,131.00,1,1,1,0
9744,2097,KAV.HOOK,F01/01,F01/01,96,0.00,1,1,1,0
9744,2097,KAV.HOOK,F01/02,F01/02,108,0.00,1,1,1,0
9744,2097,L6 STD,F01/03,F01/03,72,63.00,1,1,1,0
9744,2097,KAV.HOOK,F01/05,F01/05,146,0.00,1,1,1,0
9744,2097,L6 STD,F01/06,F01/06,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/07,F01/07,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/08,F01/08,72,63.00,1,1,1,0
9744,2097,L6 56,F01/09,F01/09,72,56.00,1,1,1,0
9744,2097,L6 STD,F01/10,F01/10,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/11,F01/11,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/12,F01/12,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/15,F01/15,72,63.00,1,1,1,0
9744,2097,L6 56,F01/16,F01/16,72,56.00,1,1,1,0
9744,2097,L6 STD,F01/17,F01/17,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/18,F01/18,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/19,F01/19,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/20,F01/20,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/21,F01/21,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/23,F01/23,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/25,F01/25,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/26,F01/26,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/27,F01/27,72,63.00,1,1,1,0
9744,2097,L6 56,F01/28,F01/28,72,56.00,1,1,1,0
9744,2097,L6 STD,F01/29,F01/29,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/30,F01/30,72,63.00,1,1,1,0
9744,2097,L6 56,F01/32,F01/32,72,56.00,1,1,1,0
9744,2097,L6 STD,F01/33,F01/33,72,63.00,1,1,1,0
9744,2097,L6 STD,F01/35,F01/35,72,63.00,1,1,1,0
9744,2097,L6 56,F01/36,F01/36,72,56.00,1,1,1,0
9744,2097,L6 STD,F01/37,F01/37,72,63.00,1,1,1,0
9744,2097,KAV.HOOK,F01/38,F01/38,105,0.00,1,1,1,0
9744,2097,L6 STD,F01/39,F01/39,72,63.00,1,1,1,0
9744,2097,KAV.HOOK,F01/51,F01/51,104,0.00,1,1,1,0
9747,2097,KAV.HOOK,F02/01,F02/01,135,0.00,1,1,1,0
9747,2097,KAV.HOOK,F02/02,F02/02,254,0.00,1,1,1,0
9747,2097,L7 STD,F02/03,F02/03,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/05,F02/05,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/06,F02/06,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/07,F02/07,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/08,F02/08,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/09,F02/09,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/10,F02/10,105,86.00,1,1,1,0
9747,2097,L7 STD,F02/11,F02/11,105,86.00,1,1,1,0
